STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/3/17,,,1.86,,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/4/17,,,0,,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/5/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/6/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/7/17,,,0.6,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/8/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/9/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/10/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/11/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/12/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/13/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/14/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/15/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/16/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/17/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/18/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/19/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/20/17,,,0.4,,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/21/17,,,0.01,,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/22/17,,,2.49,,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/23/17,,,0.51,,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/24/17,,,0,,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/25/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/26/17,,,0.07,,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/27/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/28/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/29/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/30/17,,,0,,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/31/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/1/17,,,0.36,,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/2/17,,,0.66,,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/3/17,,,1.93,,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/4/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/6/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/7/17,,,0.68,,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/8/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/9/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/10/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/11/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/12/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/13/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/14/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/15/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/16/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/17/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/18/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/19/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/20/17,,,0.24,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/21/17,,,0.02,,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/22/17,,,3.15,,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/23/17,,,0.56,,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/24/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/25/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/26/17,,,0.2,,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/27/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/29/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/30/17,,,0,0,,,,,,,,,,,,,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",1/31/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/1/17,,,0.32,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/2/17,,,0.81,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/3/17,,,2.04,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/4/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/5/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/6/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/7/17,,,0.62,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/8/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/9/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/10/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/11/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/12/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/13/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/14/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/15/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/16/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/17/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/18/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/19/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/20/17,,,0.41,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/21/17,,,0.03,,,,,,,,,,,,,,,,
